,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire,Bosnia and Herzegovina,Botswana,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curazao,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Polynesia,French South Antarctic Territory,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Saint Barthelemy,"Saint Helena, Ascension, and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
Aruba,East,East,East,West,Northeast,East,Northeast,Northeast,South,East,#DIV/0!,West,East,East,Northwest,East,East,East,Northeast,Northeast,West,East,North,East,South,East,East,East,Southeast,East,Northeast,West,East,East,East,East,East,Northwest,East,Northwest,East,East,South,East,East,East,Southwest,East,West,West,East,East,Northwest,East,East,Northeast,East,Northeast,East,East,North,Southwest,East,West,East,East,Northeast,East,East,South,Northeast,West,Northeast,Northeast,West,Southeast,East,East,East,Northeast,East,East,East,Northeast,East,West,West,Northeast,East,East,Southeast,North,West,West,East,Northeast,East,West,East,East,Northeast,Northeast,East,East,Northwest,West,Northeast,East,East,East,West,East,East,East,East,Northeast,East,Southeast,East,East,Northeast,Northeast,Northeast,West,East,East,East,East,East,East,West,East,East,West,West,East,East,East,East,Northeast,East,East,East,East,West,East,Northeast,West,Southwest,West,East,East,West,West,West,East,West,Northeast,East,East,West,East,West,West,South,South,West,Southwest,Northeast,Northeast,Northeast,East,East,East,East,East,Northeast,Southeast,Northeast,East,Northeast,North,East,West,East,East,East,East,East,East,East,East,Northeast,East,East,West,East,Southeast,West,East,Northeast,East,East,Southeast,Northeast,Northeast,East,West,East,East,East,West,East,West,West,East,East,East,East,North,West,Northeast,East,East,East,Northeast,Northwest,South,East,West,Southeast,East,West,East,East,East
Australia,Northwest,Northwest,West,East,Northwest,West,East,East,East,Northwest,East,#DIV/0!,Northwest,Northwest,East,Northwest,Northwest,East,Northwest,Northwest,East,West,East,Northwest,East,East,Northwest,West,East,West,East,Northwest,Northwest,West,West,Northwest,West,Northeast,West,East,West,West,East,Northwest,Northwest,West,East,West,East,East,West,Northwest,East,East,Northwest,Northwest,West,Northwest,West,East,East,East,Northwest,East,West,Northwest,Northwest,West,West,East,Northwest,East,Northwest,Northwest,East,West,West,West,Northwest,Northwest,West,Northwest,Northwest,West,East,North,East,Northwest,West,West,East,East,East,North,Northwest,West,Northwest,Northwest,Northwest,Northwest,Northwest,Northwest,Northwest,Northwest,East,North,Northwest,Northwest,Northwest,West,East,Northwest,Northwest,Northwest,Northwest,Northwest,Northwest,West,West,Northwest,Northwest,Northwest,Northwest,Northwest,West,West,Northwest,Northwest,West,Northwest,Northeast,West,West,East,Northeast,Northwest,Northwest,Northwest,Northwest,East,West,West,Northwest,West,Northeast,Northwest,Northwest,East,East,East,West,West,East,East,North,Northwest,North,Northwest,Northwest,Northwest,North,Northwest,East,Northeast,East,East,North,East,Northwest,Northwest,East,Northwest,West,Northwest,North,West,East,West,East,East,East,Northeast,East,East,Northwest,West,Northwest,West,Northwest,West,West,Northwest,East,Northwest,Northwest,Northeast,West,West,North,West,Northwest,Northwest,West,East,Northwest,Northwest,Northwest,North,Northwest,West,Northwest,Northwest,West,East,East,East,Northwest,Northwest,Northwest,East,East,East,West,Northwest,Northwest,Northwest,Northeast,East,Northwest,East,East,Northwest,East,Northwest,West,West
Austria,East,Southeast,Southwest,East,West,South,West,West,Southwest,East,West,Southeast,#DIV/0!,East,West,Southeast,East,Southwest,Northeast,West,West,South,West,East,Southwest,Southwest,Southeast,South,Southwest,Southeast,West,Southeast,Southeast,Southwest,South,East,South,West,Southwest,West,South,South,Southwest,East,Southeast,Southeast,Southwest,Southeast,West,West,Southwest,South,West,Southwest,Southeast,North,South,Northwest,Southeast,Southwest,West,Southwest,Southeast,West,South,Southeast,Northeast,South,Southeast,West,Northwest,East,Northeast,West,West,East,South,Southwest,East,Northwest,South,Southwest,Southeast,Northwest,Southwest,East,West,West,Southwest,Southwest,Southwest,West,West,East,East,Northwest,Southeast,Southeast,East,Southeast,West,West,Southeast,South,West,East,West,Southeast,East,Southeast,East,Southeast,Southeast,East,East,Northeast,Southeast,South,Southwest,South,West,Northeast,West,East,Southeast,South,Southeast,Southeast,Southwest,South,East,Southwest,Southeast,West,East,East,Southwest,East,Southeast,West,Southwest,South,East,South,East,East,Northwest,Southeast,Southeast,West,South,South,East,Southeast,East,Southeast,East,Northwest,Southeast,East,East,Southeast,West,Southeast,Southwest,Southwest,East,Southwest,Northeast,West,West,Southeast,South,East,East,South,West,South,West,Southwest,West,West,Southwest,East,Southwest,South,Southeast,Southwest,Southeast,Southeast,Southwest,Southeast,West,East,South,East,Southeast,South,East,South,West,Southeast,Southeast,Southwest,North,West,Southeast,East,East,South,East,Southeast,South,East,East,Southwest,South,East,East,West,East,West,South,East,Southeast,Northwest,West,Southwest,East,East,Southwest,East,East,Southeast,South,South
Azerbaijan,East,West,West,East,West,Southwest,West,West,Southwest,West,West,Southeast,West,#DIV/0!,West,South,East,West,Northwest,West,West,Southwest,West,East,Southwest,West,West,South,Southwest,Southeast,West,Southeast,West,Southwest,South,Southeast,Southwest,West,West,West,Southwest,Southwest,Southwest,East,Southeast,Southeast,West,South,East,West,Southwest,West,West,West,West,West,Southwest,Northwest,South,West,West,West,Southwest,West,Southwest,South,Northwest,South,South,West,West,Southeast,Northwest,West,East,South,Southwest,Southwest,Northwest,West,Southwest,West,West,West,West,East,West,West,Southwest,Southwest,West,West,West,East,West,West,Southeast,Southeast,Southeast,Southwest,West,West,Southwest,West,West,East,West,Southwest,East,South,East,West,South,East,East,Northwest,Southwest,South,Southwest,Southwest,West,Northwest,West,East,South,South,Southeast,Southeast,Southwest,West,East,West,South,West,East,West,West,East,West,West,West,South,East,Southwest,East,East,West,Southeast,Southeast,West,Southwest,Southwest,Southeast,Southeast,East,West,East,Northwest,Southeast,Southeast,East,Southwest,West,Southeast,Southwest,West,East,West,West,West,West,South,Southwest,West,East,Southwest,West,Southwest,West,West,West,West,West,East,West,Southwest,South,West,West,South,Southwest,Southeast,West,West,West,Southeast,South,South,East,Southwest,West,Southeast,Southwest,West,Northwest,West,Southwest,East,East,South,Southeast,Southeast,Southwest,East,Southeast,West,West,West,East,West,East,West,South,Northwest,South,West,West,Southwest,East,Southeast,West,Southeast,East,South,South,South
Bahamas,East,East,East,Southwest,East,East,Southeast,Southeast,South,East,Southeast,West,East,East,#DIV/0!,East,East,Southeast,East,East,Southwest,East,Northeast,East,South,Southeast,East,Southeast,Southeast,East,Southeast,West,East,East,East,West,East,Northwest,East,Southwest,East,East,South,West,West,East,South,East,Southwest,Southwest,East,East,South,Southeast,East,East,East,East,East,Southeast,Southeast,South,East,Southwest,East,East,East,Southeast,East,South,Northeast,West,East,East,Southwest,Southeast,East,East,East,East,East,East,East,Northeast,Southeast,West,Southwest,East,East,East,Southeast,Southeast,Southwest,West,East,Northeast,East,West,East,East,East,East,East,East,South,West,East,East,East,East,West,East,East,East,East,East,East,Southeast,East,East,East,East,East,West,East,East,East,East,East,East,West,East,East,West,West,East,East,West,East,Southeast,East,East,East,Southeast,West,East,East,West,Southwest,Southwest,East,East,Southwest,Southwest,West,East,West,East,East,East,West,East,South,West,South,South,West,Southwest,East,East,Southeast,East,East,East,West,East,Southeast,Southeast,Southeast,Southeast,Southeast,Northeast,Southeast,West,East,East,East,East,East,East,East,West,Southeast,East,East,West,East,Southeast,West,East,East,East,East,Southeast,East,East,East,West,East,East,East,West,East,West,Southwest,Southeast,East,East,East,Southeast,West,Southeast,East,East,East,East,Northwest,South,East,West,Southeast,West,West,East,East,East
Bahrain,Northeast,Northwest,West,East,West,Southwest,West,West,Southwest,North,West,Southeast,Northwest,North,West,#DIV/0!,East,West,Northwest,Northwest,West,West,West,East,West,West,Northwest,Southwest,West,Southeast,West,East,Northwest,West,Southwest,East,Southwest,West,West,West,Southwest,West,Southwest,East,Southeast,Southeast,West,South,East,West,West,Northwest,West,West,Northwest,Northwest,Southwest,Northwest,Southwest,West,West,West,West,West,Southwest,Southwest,Northwest,South,Southwest,Southwest,Northwest,East,Northwest,Northwest,East,South,Southwest,West,Northwest,Northwest,West,West,Northwest,Northwest,West,East,West,Northwest,West,West,West,West,West,East,Northwest,Northwest,East,Southeast,Northeast,Northwest,Northwest,Northwest,West,Northwest,West,East,Northwest,West,Northeast,Southwest,East,Northwest,Northwest,Northeast,East,Northwest,Northwest,South,West,West,Northwest,Northwest,Northwest,East,South,Southwest,Southeast,Southeast,West,West,East,West,South,West,East,Northwest,West,East,Northwest,West,West,South,East,Southwest,East,East,Northwest,East,Southeast,West,West,West,East,Southeast,East,Northwest,East,Northwest,Southeast,East,East,West,West,East,Southwest,West,East,West,Northwest,West,West,Southeast,Southwest,Northwest,Northeast,Southwest,West,Southwest,West,West,West,West,West,East,Northwest,Southwest,West,West,Northwest,South,West,Southeast,West,Northwest,Northwest,East,South,Southwest,East,Southwest,West,Southeast,Southwest,West,Northwest,Northwest,Northwest,East,Northeast,Southwest,East,Southeast,West,East,East,West,West,Northwest,Northeast,West,East,West,Southwest,Northwest,Southeast,Northwest,West,Southwest,Northeast,East,West,East,East,South,Southwest,Southwest
Bangladesh,Northwest,West,West,East,West,Southwest,West,West,West,West,West,Southeast,West,West,West,West,#DIV/0!,West,Northwest,West,West,West,West,North,West,West,West,Southwest,West,Southwest,West,Southeast,West,West,Southwest,Southeast,West,East,West,West,West,West,West,Northeast,Southeast,South,West,Southwest,East,West,West,West,West,West,West,West,West,West,West,West,West,West,West,West,West,West,Northwest,Southwest,West,Southwest,West,Southeast,Northwest,West,East,South,West,West,West,West,West,West,West,West,West,East,East,West,West,West,West,West,West,East,West,West,West,Southeast,West,West,West,West,West,West,West,East,West,West,Northwest,Southwest,East,West,West,Northwest,East,Northwest,West,Southwest,West,West,West,Northwest,West,East,Southwest,Southwest,Southeast,Southwest,West,West,East,West,Southwest,East,East,West,West,Northeast,West,West,West,Southwest,East,Southwest,East,Northwest,West,Southeast,Southeast,West,West,West,Southeast,Southeast,Northeast,West,East,Northwest,West,West,East,West,West,Southeast,West,West,East,East,West,West,West,West,West,West,North,Southwest,West,Southwest,West,West,West,West,West,East,West,West,West,West,West,Southwest,West,Southeast,West,West,West,Southeast,Southwest,Southwest,East,West,West,Southwest,West,West,Northwest,West,West,East,Northwest,Southwest,Southeast,Southeast,West,East,Southeast,West,West,West,Northwest,West,East,West,West,Northwest,West,West,East,West,Northwest,Southeast,West,Southeast,East,West,Southwest,Southwest
Barbados,East,East,East,West,Northeast,East,Northwest,Northwest,South,East,West,West,Northeast,East,Northwest,East,East,#DIV/0!,Northeast,Northeast,West,East,North,East,South,West,East,Southeast,South,East,Northwest,East,East,East,East,East,East,Northwest,East,West,East,East,South,East,East,East,Southwest,East,West,West,East,Northeast,Northwest,West,East,Northeast,East,Northeast,East,Northwest,Northwest,Southwest,East,West,East,East,Northeast,Southeast,East,South,Northeast,West,Northeast,Northeast,West,Southeast,East,East,East,Northeast,East,Northeast,East,North,Southwest,West,West,Northeast,East,East,South,Northwest,West,East,Northeast,Northeast,East,East,East,East,Northeast,Northeast,East,East,West,West,Northeast,East,East,East,West,East,East,East,East,Northeast,East,Southeast,East,East,Northeast,Northeast,Northeast,East,East,East,East,East,East,East,West,East,East,West,West,East,Northeast,East,East,Northwest,East,East,East,Southeast,West,East,Northeast,West,Southwest,West,East,East,West,West,West,East,West,Northeast,East,East,West,East,West,West,South,Southwest,West,Southwest,Northeast,Northeast,Northwest,East,East,East,East,East,Northwest,Southeast,Northwest,Northwest,Northwest,North,West,West,Northeast,East,East,East,East,East,East,East,Northwest,Northeast,Northeast,West,East,Southeast,West,East,Northeast,East,East,South,Northeast,Northeast,East,West,East,East,East,West,East,West,West,Southwest,East,East,East,Northwest,West,Northwest,East,East,East,Northeast,Northwest,South,East,West,Southwest,East,West,East,East,East
Belarus,Southeast,Southwest,Southwest,Southeast,Southwest,South,West,West,West,Southeast,Southwest,Southeast,Southwest,Southeast,West,Southeast,Southeast,Southwest,#DIV/0!,West,West,Southwest,West,Southeast,Southwest,Southwest,Southwest,South,Southwest,Southeast,West,Southeast,South,Southwest,South,Southeast,South,West,Southwest,West,South,South,Southwest,East,Southeast,Southeast,Southwest,South,Southeast,West,Southwest,Southwest,West,Southwest,South,West,South,West,South,Southwest,West,Southwest,South,West,South,South,Northwest,South,South,West,West,Southeast,North,West,West,East,South,Southwest,Southeast,West,Southwest,Southwest,Southwest,West,Southwest,East,West,West,Southwest,Southwest,Southwest,West,West,East,Southwest,West,Southeast,Southeast,Southeast,Southeast,West,West,South,Southwest,West,East,West,South,East,South,East,Southwest,Southeast,East,Southeast,Northwest,South,South,Southwest,South,West,West,West,East,South,South,Southeast,Southeast,Southwest,Southwest,East,Southwest,South,West,East,South,Southwest,East,Southwest,West,Southwest,South,Southeast,South,East,Southeast,West,Southeast,East,West,Southwest,Southwest,Southeast,Southeast,East,Southwest,East,West,Southeast,Southeast,Southeast,South,Southwest,Southeast,Southwest,Southwest,Southeast,Southwest,West,West,West,Southeast,South,South,East,South,West,Southwest,West,Southwest,West,West,Southwest,Southeast,Southwest,South,Southeast,Southwest,Southwest,Southeast,Southwest,Southeast,West,Southwest,Southwest,Southeast,South,South,East,South,Southwest,Southeast,South,Southwest,Northwest,West,Southeast,East,East,South,Southeast,Southeast,Southwest,East,Southeast,Southwest,Southwest,Southeast,Southeast,West,East,West,South,Southeast,Southeast,West,West,Southwest,East,Southeast,Southwest,Southeast,Southeast,Southeast,South,South
Belgium,East,Southeast,South,West,South,South,Southwest,Southwest,Southwest,East,Southwest,Southeast,East,East,West,Southeast,East,Southwest,East,#DIV/0!,West,South,West,East,Southwest,Southwest,Southeast,South,Southwest,Southeast,Southwest,Southeast,East,South,Southeast,East,South,West,Southwest,West,South,South,Southwest,East,Southeast,Southeast,Southwest,Southeast,Southwest,Southwest,South,Southeast,West,Southwest,Southeast,East,South,Northeast,Southeast,Southwest,Southwest,Southwest,Southeast,West,South,Southeast,East,South,Southeast,West,Northwest,East,Northeast,Southwest,Southwest,East,South,Southwest,East,East,South,Southwest,Southeast,Northwest,Southwest,East,West,West,South,Southwest,Southwest,West,West,East,East,Northwest,East,Southeast,East,Southeast,West,West,Southeast,Southeast,West,East,West,Southeast,East,Southeast,West,Southeast,Southeast,East,East,East,Southeast,South,South,Southeast,Southeast,East,Southeast,East,Southeast,Southeast,Southeast,Southeast,South,Southeast,East,Southwest,Southeast,West,East,East,Southeast,East,Southeast,Southwest,Southwest,Southeast,East,South,East,East,Northeast,Southeast,East,Southwest,South,South,West,Southeast,East,Southeast,East,North,Southeast,East,East,Southeast,Southwest,East,Southwest,Southwest,East,Southwest,East,Southwest,Southwest,Southeast,South,East,East,Southeast,Southwest,South,Southwest,Southwest,Southwest,West,Southwest,West,Southeast,South,Southeast,Southwest,East,Southeast,South,Southeast,Southwest,East,East,East,Southeast,South,East,Southeast,Southwest,Southeast,Southeast,Southwest,Northeast,Southeast,Southeast,East,East,Southeast,East,Southeast,South,West,West,Southwest,South,East,East,West,East,Southwest,Southeast,East,Southeast,Northwest,West,Southwest,East,East,Southwest,East,East,Southeast,South,South
Belize,East,East,East,West,East,East,East,East,Southeast,East,East,West,East,East,Northeast,East,East,East,East,East,#DIV/0!,East,Northeast,East,Southeast,East,East,East,Southeast,East,East,West,East,East,East,West,East,Northwest,East,East,East,East,South,West,West,West,Southeast,East,Southwest,Southeast,East,East,East,East,East,East,East,East,East,East,East,Southeast,East,South,East,East,East,East,East,Southeast,Northeast,West,East,East,Southwest,Southeast,East,East,East,East,East,East,East,Northeast,East,West,Southwest,East,East,East,Southeast,East,Southeast,West,East,Northeast,East,West,East,East,Northeast,Northeast,East,East,East,West,East,East,East,East,West,East,East,East,West,East,East,East,East,East,East,East,East,West,East,East,West,East,East,East,West,East,East,Northwest,West,East,East,West,East,East,East,East,West,East,West,East,East,West,Southwest,Southeast,East,East,Southwest,Southwest,West,East,West,Northeast,East,East,West,East,Southeast,West,Southeast,Southeast,West,Southwest,East,East,East,East,East,East,West,East,East,Southeast,East,East,East,Northeast,East,West,East,East,East,East,East,East,East,West,East,East,East,West,East,Southeast,West,East,East,East,East,East,East,East,East,West,East,East,West,West,East,West,Southwest,East,East,East,East,East,West,East,East,East,East,Northeast,North,Southeast,East,West,Southeast,West,West,East,East,East
Benin,East,Northeast,North,West,North,Southeast,West,West,Southwest,Northeast,West,East,North,Northeast,West,East,East,West,Northeast,North,West,#DIV/0!,West,East,West,West,Northeast,Southeast,Southwest,East,West,East,Northeast,Northwest,Southeast,East,East,Northwest,West,West,East,East,Southwest,East,East,East,West,Southeast,West,West,West,North,West,West,Northeast,North,Southeast,North,East,West,West,West,Northeast,West,Southeast,East,Northeast,Southeast,East,Southwest,North,East,Northeast,North,West,Southeast,Southeast,West,Northeast,North,West,North,Northeast,Northwest,West,East,West,North,West,West,West,West,West,East,Northeast,North,East,East,Northeast,Northeast,North,North,Northeast,North,West,East,North,Northeast,Northeast,East,West,Northeast,Northeast,Northeast,East,Northeast,Northeast,Southeast,West,Northeast,North,Northeast,North,East,Southeast,Southeast,East,East,Northwest,Northeast,East,Northwest,Southeast,West,East,Northeast,North,East,Northeast,West,Northwest,Southeast,East,Southeast,East,East,North,East,East,West,Northeast,East,West,East,East,Northeast,East,North,East,East,East,Northeast,West,East,Southwest,West,East,West,North,North,West,East,Southeast,Northeast,Northeast,East,West,South,West,West,West,Northwest,West,West,North,Southeast,East,West,Northeast,East,West,East,West,Northeast,North,East,East,Southeast,East,East,North,East,East,West,North,North,Northeast,East,Northeast,Southeast,East,East,Southwest,West,West,West,North,Northeast,Northeast,West,East,West,East,Northeast,East,North,West,Southwest,Northeast,East,West,East,West,East,Southeast,Southeast
Bermuda,East,East,East,Southwest,East,Southeast,South,South,South,East,South,West,East,East,Southwest,East,East,South,East,East,Southwest,East,#DIV/0!,East,South,South,East,Southeast,South,East,South,East,East,East,East,East,East,Northwest,East,Southwest,East,East,South,East,East,East,South,East,Southwest,Southwest,Southeast,East,Southwest,South,East,East,Southeast,East,East,South,South,South,East,Southwest,East,East,East,Southeast,East,South,Northeast,Southwest,East,East,Southwest,Southeast,Southeast,East,East,East,East,East,East,Northeast,South,West,Southwest,East,East,East,South,Southwest,Southwest,East,East,Northeast,East,East,East,East,East,East,East,East,Southwest,West,East,East,East,East,West,East,East,East,East,East,East,Southeast,Southeast,East,East,East,East,East,Southeast,Southeast,East,East,East,East,West,East,Southeast,West,West,East,East,East,East,South,East,Southeast,East,Southeast,West,East,East,West,Southwest,Southwest,East,East,Southwest,Southwest,West,East,West,East,East,East,West,East,Southwest,West,South,South,West,Southwest,East,East,South,East,East,East,East,East,South,Southeast,South,South,South,Northeast,South,Southwest,East,Southeast,East,East,East,East,Southeast,East,South,East,East,West,East,Southeast,West,East,East,East,East,South,East,East,East,West,East,East,East,West,East,West,Southwest,South,East,East,East,Southwest,West,South,East,East,East,East,West,South,East,West,South,East,West,East,Southeast,Southeast
Bhutan,West,West,West,Southeast,West,Southwest,West,West,Southwest,West,West,Southeast,West,West,West,West,South,West,Northwest,West,West,West,West,#DIV/0!,West,West,West,Southwest,West,Southwest,West,Southeast,West,West,Southwest,Southeast,West,East,West,West,West,West,West,Northeast,South,South,West,Southwest,Southeast,West,West,West,West,West,West,West,Southwest,West,West,West,West,West,West,West,West,West,Northwest,Southwest,West,Southwest,West,Southeast,Northwest,West,East,South,West,West,West,West,West,West,West,West,West,East,East,West,West,West,West,West,West,East,West,West,Southwest,Southeast,West,West,West,West,West,West,West,East,West,West,Northwest,Southwest,East,West,West,Northwest,Southeast,Northwest,West,Southwest,West,West,West,Northwest,West,East,Southwest,Southwest,Southeast,Southwest,West,West,East,West,Southwest,East,East,West,West,Northeast,West,West,West,Southwest,Southeast,Southwest,East,West,West,Southeast,Southeast,West,West,West,Southeast,Southeast,East,West,East,West,West,West,Southeast,West,West,Southeast,West,West,Southeast,East,West,West,West,West,West,West,Northeast,Southwest,West,Southwest,West,West,West,West,West,Southeast,West,West,West,West,West,Southwest,West,Southeast,West,West,West,Southeast,Southwest,Southwest,East,West,West,Southwest,West,West,Northwest,West,West,East,Northwest,Southwest,Southeast,Southeast,West,East,Southeast,West,West,West,West,West,East,West,Southwest,West,West,West,East,West,Northwest,Southeast,West,Southeast,Southeast,West,Southwest,Southwest
Bolivia,East,Northeast,Northeast,West,Northeast,East,North,North,South,Northeast,North,West,Northeast,Northeast,North,East,East,North,Northeast,Northeast,Northwest,East,North,East,#DIV/0!,North,Northeast,East,East,East,North,East,Northeast,Northeast,East,East,East,Northwest,Northeast,Northwest,East,East,South,East,East,East,Northwest,East,West,Northwest,East,Northeast,North,North,Northeast,Northeast,East,Northeast,East,North,North,Northwest,Northeast,Northwest,East,East,Northeast,East,East,South,Northeast,West,Northeast,Northeast,West,East,East,Northeast,Northeast,Northeast,East,Northeast,Northeast,North,North,West,Northwest,Northeast,Northeast,Northeast,North,North,Northwest,East,Northeast,Northeast,East,East,Northeast,Northeast,Northeast,Northeast,Northeast,Northeast,North,West,Northeast,Northeast,Northeast,East,West,Northeast,East,Northeast,East,Northeast,Northeast,East,Northeast,Northeast,Northeast,Northeast,Northeast,East,East,East,East,East,Northeast,Northeast,West,Northeast,East,Northwest,West,Northeast,Northeast,East,Northeast,North,Northeast,East,East,East,West,East,Northeast,West,West,Northwest,Northeast,East,West,West,West,Northeast,West,Northeast,East,East,West,Northeast,Northwest,West,Southeast,Northwest,West,West,Northeast,Northeast,North,East,East,Northeast,Northeast,East,North,East,North,North,North,North,North,West,Northeast,East,East,Northeast,Northeast,East,Northeast,East,North,Northeast,Northeast,West,East,East,West,East,Northeast,East,East,North,Northeast,Northeast,Northeast,West,East,East,East,West,East,West,West,North,Northeast,Northeast,Northeast,North,West,North,East,Northeast,East,Northeast,Northwest,Southeast,Northeast,West,North,East,West,East,East,East
Bonaire,East,East,East,West,Northeast,East,Northeast,Northeast,South,East,West,West,Northeast,East,Northwest,East,East,East,Northeast,Northeast,West,East,North,East,South,#DIV/0!,East,East,Southeast,East,Northeast,West,East,East,East,East,East,Northwest,East,Northwest,East,East,South,East,East,East,Southwest,East,West,West,East,East,Northwest,West,East,Northeast,East,Northeast,East,Northeast,North,Southwest,East,West,East,East,Northeast,East,East,South,Northeast,West,Northeast,Northeast,West,Southeast,East,East,East,Northeast,East,East,East,Northeast,East,West,West,Northeast,East,East,Southeast,Northwest,West,West,East,Northeast,East,West,East,East,Northeast,Northeast,East,East,Northwest,West,Northeast,East,East,East,West,East,East,East,East,Northeast,East,Southeast,East,East,Northeast,Northeast,Northeast,West,East,East,East,East,East,East,West,East,East,West,West,East,Northeast,East,East,Northeast,East,East,East,East,West,East,Northeast,West,Southwest,West,East,East,West,West,West,East,West,Northeast,East,East,West,East,West,West,South,South,West,Southwest,Northeast,Northeast,North,East,East,East,East,East,Northeast,Southeast,Northeast,East,Northeast,North,East,West,East,East,East,East,East,East,East,East,Northeast,Northeast,East,West,East,Southeast,West,East,Northeast,East,East,Southeast,Northeast,Northeast,East,West,East,East,East,West,East,West,West,East,East,East,East,North,West,Northeast,East,East,East,Northeast,Northwest,South,East,West,South,East,West,East,East,East
Bosnia and Herzegovina,East,Southeast,Southwest,East,West,South,West,West,Southwest,East,West,Southeast,Northwest,East,West,Southeast,East,West,Northeast,Northwest,West,Southwest,West,East,Southwest,West,#DIV/0!,South,Southwest,Southeast,West,East,East,Southwest,South,East,South,West,Southwest,West,South,South,Southwest,East,Southeast,Southeast,Southwest,Southeast,West,West,Southwest,Northwest,West,West,Southeast,North,South,Northwest,Southeast,West,West,Southwest,Southeast,West,South,Southeast,Northeast,South,Southeast,West,Northwest,East,Northeast,West,West,East,South,Southwest,East,Northwest,Southwest,West,Southeast,Northwest,West,East,West,West,Southwest,Southwest,Southwest,West,West,East,Northeast,Northwest,East,Southeast,East,East,West,Northwest,Southeast,West,West,East,West,Southeast,East,Southeast,East,East,Southeast,East,East,Northeast,Southeast,South,Southwest,South,West,Northeast,Northwest,East,Southeast,South,Southeast,Southeast,Southwest,South,East,Southwest,Southeast,West,East,East,West,East,Southeast,West,Southwest,South,East,South,East,East,Northwest,Southeast,Southeast,West,South,South,East,Southeast,East,Southeast,East,Northwest,Southeast,East,East,Southeast,West,East,Southwest,Southwest,East,Southwest,North,West,West,Southeast,South,East,East,South,West,South,West,West,West,West,West,East,West,South,Southeast,Southwest,East,Southeast,Southwest,Southeast,West,Northeast,Northwest,East,Southeast,South,East,South,West,Southeast,South,Southwest,North,West,Southeast,East,East,South,East,Southeast,Southwest,East,East,Southwest,Southwest,East,East,West,East,West,South,East,Southeast,Northwest,West,Southwest,East,East,Southwest,East,East,Southeast,South,South
